Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
2010-04-01,31.664911,38.783611,64.656929,55.855233,23.056575,64.157279,30.401181,33.031766999999995,15.359948000000001,159.095729,28.527148999999998,115.3866,18.775167,55.452633,39.784344,23.718142999999998,57.106779,73.64856800000001,30.819665999999998,25.339064999999998,34.446605,14.042497000000001,53.282287,47.060666999999995,30.498546,65.684399,22.235263,22.380499,48.735539,58.819644999999994
2010-04-05,32.003071999999996,39.685769,63.81539,56.728104,23.360069,64.968763,30.810164,32.725144,15.527542,161.843596,28.773831,116.376276,18.942878,55.140679000000006,39.925236,23.529428,57.487038,73.94720600000001,30.558135999999998,25.434652,34.493147,13.894507999999998,53.618664,46.545726,30.637216,66.32236999999999,22.216042,22.509286,48.735539,59.324238
2010-04-06,32.143972999999995,40.104298,64.098857,56.989968999999995,23.4047,65.152805,31.122919,32.957435,15.586198999999999,161.600578,28.676919,115.99838899999999,18.783552,55.06479399999999,40.365522999999996,23.284956,57.301131000000005,74.087737,30.443718,25.4781,34.400062,13.943837,53.072051,45.899862,30.886826,66.16287700000001,22.199225,22.323261,48.770668,59.071941
2010-04-07,32.286215000000006,39.406751,63.868538,56.274212,23.511816,64.72615400000001,31.106881,32.818059000000005,15.502401999999998,164.834465,28.729781,115.59352700000001,18.825481,54.988916,39.907624,23.083372,57.208178000000004,73.481689,30.067769000000002,25.504169,34.251121000000005,14.034275,52.559074,45.821311,30.443076,65.560349,21.7932,21.970879999999998,48.551099,58.584745999999996
2010-04-08,32.198987,40.634433,64.027988,56.282943,23.458258999999998,64.968763,31.387555,33.143265,15.552679999999999,167.769258,29.046946000000002,114.81079199999999,18.708083,54.744406999999995,40.295075,23.057638,58.103908999999994,72.858063,30.059594,25.99948,34.437294,14.091826000000001,52.609531999999994,45.611841,30.156487,65.303388,21.980595,21.912758,48.638929,59.037141000000005
2010-04-09,32.445903,40.811147999999996,64.152004,56.972508,23.743899,66.508066,31.42765,33.654308,15.519162,167.414088,29.293628000000002,115.84544199999999,18.909335000000002,54.921464,40.488803000000004,23.413625,58.036305000000006,73.33236600000001,30.214879999999997,26.364446,34.991159,14.182264000000002,52.752491000000006,45.734034,29.823674,65.560349,22.228054,21.854635000000002,48.366662,59.820128000000004
2010-04-12,32.513000000000005,41.424989000000004,63.709088,58.24691,23.681416,67.286085,31.195092,33.347682,15.678375,166.21774,29.496259999999996,115.48556699999999,18.900951,54.896170999999995,40.629694,23.486537,57.90955,73.14791600000001,30.116804,26.347065999999998,35.154059000000004,14.215151,52.727264,45.402374,29.823674,65.356557,22.389024,21.752921,48.322749,59.776627000000005
2010-04-13,32.531783000000004,41.843517999999996,63.062433999999996,57.77555699999999,23.601079000000002,67.102036,30.962533,33.301225,15.879488,167.535597,30.25393,116.088365,19.093817,55.376755,40.391939,23.598052,58.239109,73.727622,29.994214000000003,26.460033000000003,35.144752000000004,14.124713,52.979547,45.576932,29.731227,65.090733,22.292923000000002,21.847368,48.059267,59.73313100000001
2010-04-14,32.969243,43.210707,63.51420400000001,58.726987,23.993834,67.411573,31.171032,33.635723999999996,16.214675,172.835047,30.817777000000003,118.085701,19.722731,55.216558,42.029807,23.568029,58.661621999999994,74.12287099999999,29.593745000000002,26.78155,35.279728000000006,14.034275,53.139325,46.179154,28.705056,65.569212,22.646093,21.687532,47.989003000000004,59.689629000000004
2010-04-15,33.402679,43.406019,63.859678,59.547491,24.288401,68.256514,31.539924,33.821558,16.34037,172.227532,30.958739,117.76180900000001,20.309716,55.233424,42.100255,23.272088,58.441919999999996,74.65865699999999,29.454808,26.824999,35.205257,13.968501999999999,52.979547,46.152971,28.316775,66.10971500000001,22.691739000000002,21.462298,47.541084000000005,59.385135999999996
2010-04-16,33.198712,41.945821,62.7081,58.377836,24.083097,67.55379,31.002628,33.291934999999995,15.896247,150.197879,30.844206,117.527891,20.058151000000002,54.820285999999996,40.110155,23.576608,58.332063,73.569521,29.185104,26.651204999999997,34.986504,13.812291,52.853404000000005,45.507107,28.409222999999997,65.29453199999999,22.547589000000002,21.491363,47.523518,59.098040000000005
2010-04-19,33.154423,42.559663,62.858689,58.473853000000005,24.163434,68.03064,31.571997999999997,33.607847,15.871108999999999,152.64666599999998,30.985167999999998,118.967404,20.125235,55.671849,39.969264,23.726722,59.084134,73.692488,29.340389000000002,26.972723,35.177333000000004,13.804070999999999,53.164556000000005,46.423533,28.871462,65.356557,22.372206,21.600343,47.769434000000004,59.359038
2010-04-20,32.821634,42.968892,63.257318000000005,58.919020999999994,24.261623,68.641346,31.403594000000002,33.951640000000005,15.921385999999998,149.524932,30.99398,116.682171,20.225862,55.638123,40.400746000000005,23.362157999999997,59.439043000000005,74.89580500000001,29.471154,27.250791999999997,35.540369,13.779406,53.139325,46.406077,28.640342999999998,65.746423,22.59564,21.622141,47.883611,60.002824
2010-04-21,34.78484,42.773579999999995,65.69335799999999,59.137239,24.315179999999998,68.532586,31.331418,33.970224,15.946526,148.543549,31.073271000000002,116.052383,19.957524,55.132245999999995,39.93404,23.242065,59.455946999999995,75.273491,28.392344,27.224722999999997,35.707924,13.647860000000001,53.50934300000001,46.083147,27.974719,68.165398,22.374607,21.476831,47.839698,59.959322
2010-04-22,35.757715999999995,43.499028,66.960093,59.295339,24.386591,67.93024799999999,31.652194,34.174637,15.879488,148.65571599999998,31.469727000000002,116.17834099999999,20.116849,54.617937,39.396892,23.293534,60.022112,75.580914,27.59958,27.27686,36.410727,13.5492,53.475704,46.947207,28.159613,67.722363,22.857513,21.273395,47.857263,59.646128000000004
2010-04-23,36.342789,44.689507,66.55261,60.410802000000004,24.520484,69.160021,32.253640999999995,34.183931,15.980044,147.113539,32.060003,116.95208400000001,20.158778,54.837152,39.573005,23.109107,60.123518000000004,76.046432,28.980784000000003,26.903205,36.257134,13.902729999999998,53.433657999999994,46.589365,28.612609000000003,67.757807,23.205876999999997,21.106292,47.892392,60.237717
2010-04-26,36.164317,43.84315,65.852802,62.93158100000001,24.609748,69.09309300000001,32.839048999999996,34.416222,16.172776000000002,142.09448600000002,32.148106,117.617853,19.974296,54.601077000000004,38.648402000000004,23.044771,60.013659999999994,76.801802,28.604834999999998,27.033551,36.312984,13.828735,53.770033999999995,45.315093,27.595683,67.695782,23.064129,21.026369,47.462039000000004,60.28121899999999
2010-04-27,35.163261999999996,42.587567,64.205159,60.191221999999996,24.109876,67.118771,31.596057000000002,33.747223,15.669997,143.038475,31.090891999999997,115.89943600000001,19.580177,54.196372,37.345153,22.675918,59.5996,77.26732,28.179849,26.807619,35.717231,13.532757,53.072051,44.10192,27.549458,65.852754,22.331362,20.888324,47.462039000000004,59.393831000000006
2010-04-28,35.104213,42.857286,64.10771700000001,60.577684999999995,24.136656,67.445037,31.644173,33.719349,15.879488,146.749027,31.002789,117.051051,19.504707,54.483039,38.269754999999996,22.886079000000002,59.439043000000005,77.504468,28.245233000000002,26.859757000000002,35.577604,13.590309,53.531349,44.616864,28.141125,66.154022,22.489929,21.157149,47.084379999999996,60.194221999999996
2010-04-29,36.04891,44.270978,65.36559799999999,62.14109200000001,24.574043,68.842123,32.534315,34.583472,16.33199,149.767949,31.328765,117.374944,19.697574,54.811859,38.745266,23.049061,60.436173,78.46185899999999,28.809156,26.937964,36.103541,13.861622,52.70935600000001,44.8787,28.936175,67.359071,22.30013,21.229805,47.163425,59.73313100000001
2010-04-30,35.035773,42.894486,64.160865,59.804759,24.038466,68.13103199999999,31.948907000000002,34.230388,15.804070999999999,135.71084,31.03803,116.061375,19.152516000000002,54.213238,37.494852,22.92468,59.650299,77.882153,28.637527000000002,26.538240000000002,35.330926,13.746519000000001,52.675459,44.285208000000004,28.020941999999998,66.410976,21.67788,20.997304,47.110727000000004,58.958839000000005
2010-05-03,35.741616,43.898955,65.89709599999999,61.42965600000001,24.58297,69.293877,32.173445,34.899387,16.139257999999998,139.729828,31.601877,116.601201,19.504707,55.081661,38.331395,23.057638,60.351670999999996,78.88345699999999,28.825502,26.816309000000004,36.196626,13.902729999999998,53.116116000000005,44.695415000000004,27.974719,67.589451,21.447237,21.280661,47.198555999999996,59.019738000000004
2010-05-04,34.712379,42.652671000000005,64.479765,58.583895999999996,23.708192999999998,67.562158,30.954512,33.998098,15.56944,139.68309299999999,31.205421,115.26963400000001,18.917721,54.550484999999995,37.397988,22.808877,59.692553000000004,77.012601,29.266834000000003,26.181962,36.001145,14.190485999999998,52.29412,43.639344,27.26287,65.710986,21.231012,20.888324,47.444472999999995,57.827863
2010-05-05,34.351403999999995,41.322681,63.259131999999994,57.933942,23.699267000000003,67.085307,30.369103999999997,32.836643,15.167216,138.505442,31.046841999999998,114.675835,18.721805,54.921464,37.53888,23.014749,59.70945699999999,76.05521,29.087031,25.938653,35.005121,14.273568,52.675459,44.180471000000004,27.734353999999996,65.20591999999999,20.764924,20.837467999999998,48.10318,57.566865
2010-05-06,33.044388,39.52766,60.55948299999999,55.773277,22.753082,64.58393000000001,29.422825,31.600853999999998,14.505220000000001,133.01906499999998,29.919145,112.062373,18.164458,53.45441999999999,35.936234999999996,22.431445,58.661621999999994,73.991119,28.008221000000002,25.182651,33.650717,13.908005,51.480601,43.464786,27.03175,63.123656000000004,19.921641,20.350675,46.750634000000005,55.583302
2010-05-07,31.650154999999998,37.76054,59.445765,54.543629,22.056832,64.500274,29.053936,31.043357,14.144894,133.645277,29.452209999999997,110.416525,17.995564,53.378538,35.892204,22.590137,57.47014,72.576996,27.370742,24.513545999999998,32.864136,13.675373,51.107738,42.99348,26.828366,61.546451,19.770284,20.481455,46.021665999999996,55.418006000000005
2010-05-10,34.083028000000006,40.076397,63.259131999999994,58.575118,23.324363,66.834331,30.66582,32.790186,15.116938000000001,134.430377,31.090891999999997,114.187505,19.042702,54.59264399999999,36.940089,23.177731,59.641854,75.510645,27.991875,25.147893,35.675344,14.124019,52.895786,43.717895,27.623416,64.718585,20.659213,20.786603,46.179756,56.749085
2010-05-11,34.422521,40.299614,63.633339,58.030556999999995,23.172616,66.675379,30.553546,33.226890000000004,15.083418,132.691932,31.390435999999998,114.748181,18.814697,54.525192000000004,36.587858000000004,22.993304000000002,59.557352,74.693792,27.387085,25.095754,35.572949,14.132328,52.853416,43.44733,27.595683,64.798328,20.219554000000002,20.634032,46.074360999999996,56.460035
2010-05-12,35.169965999999995,41.015759,64.925255,59.857463,23.868867,66.976548,31.826271999999996,32.641519,15.452125,137.580136,31.619496999999996,119.98414299999999,19.498714,54.719115,36.711138,23.169153,59.717903,75.92346500000001,27.493333000000003,25.582376999999997,36.233861,14.040937,53.404238,43.805172,28.030186999999998,65.194936,20.615354999999997,20.851992000000003,46.359691,56.854191
2010-05-13,34.669434,39.815981,63.936274,58.768349,22.788788,66.022848,31.283134000000004,32.288436,15.125316,135.19678100000002,31.073271000000002,118.898971,19.000479000000002,54.525192000000004,35.936234999999996,22.941836,59.57425,75.176873,27.223631,25.408583,35.16337,13.758455999999999,53.175435,43.787715999999996,27.900761,64.936472,20.627387,20.844732999999998,46.289023,56.705284
